"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q1,1946Q2,1946Q3,1946Q4,1947Q1,1947Q2,1947Q3,1947Q4,1948Q1,1948Q2,1948Q3,1948Q4,1949Q1,1949Q2,1949Q3,1949Q4,1950Q1,1950Q2,1950Q3,1950Q4,1951Q1,1951Q2,1951Q3,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
"Security brokers and dealers; U.S. direct investment abroad: intercompany debt (market value)","Currency","1000000","USD",Z1/Z1/LM663092305.Q,LM663092305.Q,1,ND,ND,ND,1,ND,ND,ND,2,ND,ND,ND,2,ND,ND,ND,2,ND,ND,ND,3,ND,ND,ND,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,13,13,13,14,14,15,15,16,16,17,18,18,19,20,20,21,22,22,23,24,25,26,27,27,28,29,29,29,30,30,30,31,31,31,32,32,33,33,33,34,34,34,35,35,36,36,36,37,37,38,38,39,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,46,45,44,43,42,41,40,39,38,37,37,36,35,34,34,33,56,37,13,-2,-16,-25,-30,-26,-25,-42,-39,-37,-38,-43,-39,-41,-29,-23,-20,-25,-22,-15,-11,-9,10,16,16,50,71,74,83,115,124,122,145,112,121,103,106,128,177,193,191,297,331,427,393,351,432,436,446,197,189,192,199,186,135,142,178,852,866,878,852,287,329,393,395,642,914,1137,1329,5633,5363,5376,5677,5835,5942,5733,6596,7498,8032,8545,8599,9510,9123,9605,9803,11684,12568,13044,13077,13856,13982,13578,14323,13424,13991,13653,13814,13685,12042,10359,8965,9160,9400,9719,8630,8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Security brokers and dealers; corporate equities; asset","Currency","1000000","USD",Z1/Z1/LM663064103.Q,LM663064103.Q,554,ND,ND,ND,450,ND,ND,ND,460,ND,ND,ND,463,ND,ND,ND,649,ND,ND,ND,509,ND,ND,ND,550,447,441,648,612,620,640,679,602,539,632,715,731,590,716,611,885,742,755,666,686,521,536,561,771,628,768,425,488,207,258,364,566,266,299,440,536,11,152,77,194,19,97,232,255,29,156,104,479,181,430,145,897,688,1077,661,1203,651,1155,666,1317,745,1281,1467,1689,1376,1019,1293,1509,1034,1685,1160,1870,1015,1633,1522,1982,1999,1720,1040,2107,1246,1219,694,2411,1087,1348,917,2765,1852,2553,2119,2164,1504,2184,1647,3368,1302,1328,1292,1542,1405,1579,1581,1840,1673,2024,2282,1918,2092,2237,2487,2566,2066,2283,2745,3268,3053,3384,2768,3475,2750,3274,3283,4921,5099,7423,7470,10005,8127,7653,9111,8914,10957,12039,10615,14070,16599,16027,16727,17721,18314,17614,20423,10685,11495,11075,11881,12233,12566,13423,14081,14078,9884,12863,8971,9555,12763,12424,13757,14267,12334,12686,12072,14783,15807,19213,21514,24247,22252,19739,20178,20126,22013,23863,26753,34176,28171,31923,29142,37899,39279,44150,50737,51922,62800,66679,55447,54351,61035,68117,55535,66885,74383,74528,81519,77220,78268,89825,66595,85080,86247,83728,69384,74894,67679,87637,86803,100537,113454,117847,110251,129065,134575,131123,132883,158331,167166,166945,172725,186369,202062,223084,220624,224757,180134,189631,160646,109172,79551,89312,108514,124151,112353,98409,100587,117240,131652,131158,97695,103166,116254,113471,127909,126702,117149,121355,126753,172386,153118,167675,176891,187782,162857,164244,143287,166809,136841,141443,158040,176139,168964,187728,198473,182661,191900,197312,221499,147686,159000,180000,175000,167000,144684,180382,205387,214271,265933,259107,231950,233886,236914,177578,192184,170265,235261,276032,251304,283438,317114,343771
"Security brokers and dealers; U.S. direct investment abroad: equity (market value)","Currency","1000000","USD",Z1/Z1/LM663092103.Q,LM663092103.Q,30,ND,ND,ND,34,ND,ND,ND,39,ND,ND,ND,47,ND,ND,ND,55,ND,ND,ND,64,ND,ND,ND,76,76,79,83,89,93,97,101,106,111,115,120,125,131,136,142,148,155,161,168,174,182,189,197,206,212,220,228,235,244,253,261,270,280,289,299,309,320,332,343,355,367,380,393,407,421,435,451,466,482,499,516,534,553,572,592,612,633,655,679,702,709,718,726,734,743,751,759,768,778,786,795,804,813,823,832,841,851,861,871,880,891,901,911,922,932,943,953,964,976,986,998,1009,1021,1032,1044,1056,1068,1080,1093,1105,1118,1130,1143,1156,1131,1106,1082,1058,1035,1012,990,969,948,927,906,886,867,848,829,811,850,985,821,645,714,760,826,638,451,620,514,592,594,596,630,951,964,947,988,1576,1603,1591,1590,3472,3089,2886,2798,3561,3588,3336,3328,3296,3396,3419,3501,2867,2918,3036,3213,4298,4448,4695,4751,6208,6402,7001,7042,5951,5924,6029,6078,3431,3281,3340,3474,4173,3196,3395,4018,19349,19731,19973,19553,7036,7561,7755,8142,14017,15822,17773,19477,93804,96706,99544,101466,100076,100198,100066,112503,103746,107428,109509,112097,95896,99266,100680,102716,164783,175610,179937,180996,228511,233375,234034,233226,245382,274876,282047,298069,333837,317002,319468,292716,253398,228049,217200,176012,139626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Security brokers and dealers; total miscellaneous assets","Currency","1000000","USD",Z1/Z1/FL663090005.Q,FL663090005.Q,-31,ND,ND,ND,-35,ND,ND,ND,-41,ND,ND,ND,-49,ND,ND,ND,-57,ND,ND,ND,-67,ND,ND,ND,-79,-79,-82,-86,-93,-97,-101,-105,-110,-115,-120,-125,-130,-136,-142,-148,-154,-161,-168,-175,-181,-189,-197,-205,-214,-221,-229,-237,-245,-254,-263,-272,-281,-291,-301,-311,-322,-333,-345,-357,-369,-382,-395,-409,-423,-438,-453,-469,-485,-502,-519,-537,-556,-575,-595,-616,-637,-659,-682,-706,-730,-738,-747,-755,-764,-773,-781,-790,-799,-809,-818,-827,-837,-846,-856,-866,-875,-885,-896,-906,-916,-677,-437,-198,41,280,519,758,997,1235,1474,1712,1950,2188,2426,2664,2901,5679,5614,5489,5997,6938,7781,7555,5571,7616,8125,9231,9286,8396,10145,11702,13647,11106,15103,17984,19831,17534,20167,16982,22483,19932,22218,31665,34206,37175,38345,41239,40968,41704,42699,47088,46102,49888,56967,55613,83597,87249,89474,75471,86683,103765,101135,113385,83904,90395,107145,92820,98126,104249,114676,131045,125064,131000,134643,144415,145581,155241,167874,178668,198429,213801,211475,270229,251320,289211,283546,309842,331325,362298,379547,394065,387017,425679,383933,401851,412639,485525,481851,517885,514278,608396,664071,698180,669775,842494,871277,884692,829802,863371,892752,873995,872778,1071558,1051061,1040895,1045339,1016058,1164029,1155227,1300085,1346094,1230545,1202657,1128494,1300863,1542116,1532296,1505299,1646043,1733532,1775493,1881885,1993850,2038578,2140966,2073549,2380715,2418717,2555401,2619372,3061003,3335111,3165137,2837128,2883780,2598059,2444998,1443570,1542568,1629583,1736724,1712899,1774125,1639909,1676409,1634510,1719810,1750956,1633642,1515218,1620276,1612412,1617712,1498734,1666358,1616859,1583203,1589590,1737782,1727689,1669612,1626673,1651957,1533548,1527578,1471214,1527567,1489442,1440730,1355189,1427431,1467744,1469142,1389562,1437536,1445989,1448456,1322644,1390011,1409494,1386213,1372051,1352246,1405471,1413805,1470591,1637663,1726398,1788848,1713734,1870241,1762673,1695065,1619559,1711009,1715049,1700618,1739065,1823423,1789778
"Security brokers and dealers; receivables due from other brokers and dealers and clearing organizations; asset","Currency","1000000","USD",Z1/Z1/FL663070605.Q,FL663070605.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4247,4020,4035,5270,5450,6069,5931,5990,5616,6219,6766,6735,5862,6885,8149,9293,7451,10519,12662,14081,12450,14660,12168,15944,13765,16072,24562,25257,26270,28130,31095,29674,30092,30342,33731,32406,35609,42156,40331,64599,63700,66190,64859,65514,82107,79979,90707,64265,68878,86147,71996,77687,82434,92755,108057,101238,109747,116918,122664,122921,131467,142190,156048,176794,195789,196904,247655,230946,267127,259453,287292,306138,335061,353504,366385,358117,396950,353632,369284,375014,448405,444870,482645,489881,584846,637513,665826,618546,756852,794705,797457,748379,803739,824924,805539,868937,1050953,1032253,1015229,982654,1003264,1072752,1094421,1142891,1199501,1114557,1080156,1069196,1233406,1457356,1463671,1481097,1625784,1698425,1745876,1881979,1953921,2015423,2095955,2033547,2325547,2350571,2506738,2611721,2989073,3164618,3003659,2707812,2699928,2450264,2217011,1387286,1334766,1392451,1457878,1424269,1477372,1357702,1383751,1345157,1427765,1455358,1357936,1238617,1319351,1324389,1324580,1216277,1359227,1306266,1279950,1273981,1412517,1411805,1355167,1310452,1346192,1231712,1225360,1174906,1246927,1197335,1136231,1042090,1121448,1151705,1159941,1111364,1158211,1162841,1164251,1055252,1120855,1131685,1123785,1104256,1038493,1121747,1115164,1152077,1297311,1380527,1468597,1342692,1497043,1423779,1336504,1296545,1369527,1363897,1330100,1360511,1475747,1432206
"Security brokers and dealers; balances due from holding company parent; asset","Currency","1000000","USD",Z1/Z1/FL663094705.Q,FL663094705.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930,2920,3226,3154,3043,3082,3100,3047,3109,3271,2673,2748,1878,2005,2833,2558,2603,2767,2777,3048,3808,3564,4284,3751,4222,15335,23453,28029,30271,32715,36746,39128,40812,42194,45929,44006,45564,48048,48201,49197,56110,59453,63390,67951,72507,77783,83731,84430,89034,91783,92436,94510,91587,95639,99341,101055,104525,107734,112661,122512,121432,125214,127377,135038,141714,157096,146528,151916,161346,180415,182867,200630,212069,227902,300708,305246,317897,280154,281571,285780,308630,284068,281960,288791,275592,241718,254486,246547,394344,447397,513823,518819,523793,475148,473475,473289,447162,438078,436995,431481,403996,193108,193519,186136,185409,191578,204004,203591,210957,232007,233395,215785,214246,181978,201817,219465,227736,230643,220544,231683,238108,250967,258283,263569,287728,290470,323822,353312,389274,396809,397420,405670,400738,400429,429065,439148
"Security brokers and dealers; unidentified miscellaneous assets","Currency","1000000","USD",Z1/Z1/FL663093005.Q,FL663093005.Q,-31,ND,ND,ND,-35,ND,ND,ND,-41,ND,ND,ND,-49,ND,ND,ND,-57,ND,ND,ND,-67,ND,ND,ND,-79,-79,-82,-86,-93,-97,-101,-105,-110,-115,-120,-125,-130,-136,-142,-148,-154,-161,-168,-175,-181,-189,-197,-205,-214,-221,-229,-237,-245,-254,-263,-272,-281,-291,-301,-311,-322,-333,-345,-357,-369,-382,-395,-409,-423,-438,-453,-469,-485,-502,-519,-537,-556,-575,-595,-616,-637,-659,-682,-706,-730,-738,-747,-755,-764,-773,-781,-790,-799,-809,-818,-827,-837,-846,-856,-866,-875,-885,-896,-906,-916,-927,-937,-948,-959,-970,-981,-992,-1003,-1015,-1026,-1038,-1050,-1062,-1074,-1086,-1099,1432,1594,1454,727,1488,1712,1624,-419,2000,1906,2465,2551,2534,3260,3553,4354,3655,4584,5322,5750,5084,5507,4814,6539,6167,6146,7103,8949,10905,10215,10144,11294,11612,12357,13357,13696,14279,14811,15282,18998,23549,23284,10612,21169,21658,21156,22678,19639,21517,20998,20824,20439,21815,21921,22988,23826,21253,17725,17821,19740,20548,22530,19577,18553,14912,11524,19465,17103,19411,21345,20672,23182,24404,23485,25077,26133,25952,27253,28759,34061,32836,33230,31018,9062,97,-1471,2083,18514,48896,37444,46423,39229,13703,23822,22892,-44207,-27596,-30389,-30444,3232,-50596,23326,-11701,79411,62862,31558,33467,-32485,-24979,-9750,-22962,-71437,-79082,-65948,-74908,-107828,-72732,-99357,-76421,-85212,-72209,-66892,-93051,-149445,-74598,18577,132,-51099,985,-52835,15918,-171618,-92906,-68114,-39051,8476,15182,-3573,-15972,5285,10085,6807,114,34883,46439,41476,-101212,-164940,-206692,-208226,-220540,-159539,-148210,-157405,-132717,-121857,-131230,-129645,-101778,103200,87121,105971,119090,121521,101979,112448,98244,46191,45930,67363,69959,85414,67339,58344,34692,37152,93209,52041,60533,67547,82069,82302,32523,80572,49376,-14418,-30713,-73795,-55938,-54518,-30220,-21875,-81389,-81576
"Security brokers and dealers; total liabilities and equity","Currency","1000000","USD",Z1/Z1/FL664194005.Q,FL664194005.Q,5272,ND,ND,ND,3694,ND,ND,ND,2868,ND,ND,ND,3348,ND,ND,ND,3878,ND,ND,ND,4238,ND,ND,ND,3954,3529,4368,3708,4334,3917,4022,4300,4751,4311,5081,5309,5762,5467,5684,5552,6103,5628,5565,5287,5517,4849,5154,5244,5675,5653,6924,5506,6320,5693,5758,5916,6595,5416,5797,6608,7402,6592,7330,7456,8641,7964,7477,8221,9557,8275,9185,9768,10022,9075,9991,9968,10522,9709,11009,8999,10835,9629,11258,9461,11832,12138,12158,13641,15432,14091,15922,18375,19014,14529,15477,12492,14991,12871,11298,12947,16004,14682,14027,17443,20307,21211,21732,21581,24780,20879,20104,20560,23820,20372,21424,21770,23084,23680,25449,25027,30508,34873,36709,41005,48599,42799,47713,47515,49921,52314,56030,59291,59008,58495,74215,76323,73375,68098,90147,92584,106610,105888,112889,113921,132045,113688,122206,142402,164647,158348,173389,190816,211406,204933,213305,229419,274746,251893,277088,294121,387736,405667,432752,440873,460713,470128,465748,505686,482149,515246,532293,555481,540336,594823,683502,664766,655810,638276,629986,625724,650301,680246,723342,786309,786405,802368,874031,972816,946333,1061642,1090701,1194802,1205139,1284043,1292525,1330779,1210614,1321712,1355470,1416343,1486659,1608606,1632461,1690966,1777705,1945106,2043941,2220726,2190029,2537052,2573558,2517412,2378600,2553757,2624355,2582510,2812375,3176368,3112349,3202414,3204826,3259875,3458533,3542868,3624093,3695044,3604467,3553785,3449763,3654738,4077793,4049207,4173466,4472526,4630645,4890447,5083604,5346859,5447672,5625866,5597824,6057332,6100106,6416759,6562655,7252941,7595298,7453278,7181172,7281092,6736305,6730450,4781520,4147845,4178369,4290851,4108816,4413247,4343971,4315567,4376729,4567704,4630883,4544099,4395398,4671739,4660376,4926409,4990924,5007788,4882201,4799252,4830815,4883205,4855144,4759941,4657723,4649540,4579606,4552437,4137619,4140412,4188742,4115611,3907558,3937846,4098582,4000888,3952457,4018553,4058651,4109448,4184970,4226739,4368634,4490093,4393533,4626302,4449587,4495094,4705570,4768444,4853391,4992047,4991885,5159942,4994389,5009792,4987960,5415386,5434853,5363815,5507129,5810027,5846509
"Security brokers and dealers; total liabilities ","Currency","1000000","USD",Z1/Z1/FL664190005.Q,FL664190005.Q,5015,ND,ND,ND,3415,ND,ND,ND,2624,ND,ND,ND,3109,ND,ND,ND,3632,ND,ND,ND,4008,ND,ND,ND,3727,3306,4144,3481,4112,3690,3783,4054,4502,4067,4842,5074,5508,5200,5418,5277,5808,5334,5264,4978,5212,4543,4848,4923,5348,5307,6593,5158,5917,5262,5306,5412,5973,4755,5087,5816,6466,5634,6413,6438,7355,6642,6450,6920,8130,6944,7894,8548,8832,7932,8942,8783,9473,8645,10072,8059,9866,8615,9976,8376,10707,10841,10855,12241,13932,12750,14187,16663,17435,13483,14693,11767,14357,12089,10802,12384,15340,13923,13329,13419,16476,16263,17696,18062,22454,17967,17274,16421,19813,15978,16988,16963,17768,17469,18837,18288,23005,26493,28174,32534,39679,34359,38851,38567,41152,43275,46896,49674,49505,48468,63500,65112,62010,57485,69669,70680,84063,83280,87950,85719,113044,94431,101037,120220,139820,130918,143811,162414,180847,173622,182843,196544,241150,215053,238231,249791,338390,351818,369081,382094,402590,407023,404614,444845,425133,452428,468012,487876,473249,524630,611529,590780,586163,567676,556446,556741,584797,608137,647964,704764,695767,705940,776127,867102,832624,927147,945748,1034798,1036831,1108078,1116369,1150478,1039275,1132858,1157722,1202744,1274441,1373175,1386932,1432157,1476755,1624584,1697071,1838053,1779146,2086085,2102653,2099068,1882470,1971224,1977689,1976780,2097955,2404535,2383994,2420114,2432298,2512525,2677930,2825680,2878783,2933130,2892123,2877804,2771019,2965439,3348638,3297927,3370072,3630888,3804618,4063159,4181530,4424544,4510223,4668766,4584158,4998095,5034995,5342385,5414095,6087656,6399599,6284709,6031443,6213272,5681592,5798077,3904097,3698036,3726908,3840303,3697265,3970202,3908050,3900739,3945092,4125886,4180677,4090676,3966477,4123472,4102859,4165518,4182704,4166582,4012071,3908315,3860919,3905218,3905244,3827182,3719657,3706416,3608858,3563766,3387699,3381709,3456345,3454808,3261025,3348499,3500131,3404838,3350746,3391206,3448004,3488569,3588665,3620279,3730722,3822712,3704490,3964021,3740655,3767466,3930193,3964662,4001243,4098426,4083458,4294351,4156371,4143807,4082941,4501526,4504411,4449712,4568161,4843835,4866586
"Security brokers and dealers; security repurchase agreements; liability","Currency","1000000","USD",Z1/Z1/FL662151003.Q,FL662151003.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,1600,2300,3000,3923,4653,8996,8719,10452,11972,12927,9924,16863,16352,16480,11434,20415,29170,28184,18301,22387,27756,24543,25859,37416,37518,38516,53977,48778,49209,57871,74247,63669,66287,84353,95150,96334,101931,109625,141650,117147,123208,132932,168182,182329,199594,218387,224361,224187,227971,251798,269097,295387,293874,324621,300811,346500,416032,399576,396611,377772,365215,372039,396720,410411,442715,485325,441925,462400,507136,579111,567447,626314,623513,690693,675444,718235,734691,769031,652000,726541,766201,785182,827466,877899,901200,909240,898114,973835,1011047,1098341,1060896,1141532,1154988,1147679,985457,1009463,984322,1003400,1037512,1084020,1106944,1137895,1194356,1263615,1314999,1370856,1362191,1409490,1516532,1538119,1487519,1477932,1575031,1575534,1653056,1756239,1802454,2020283,1950572,2142962,2248693,2372700,2320420,2451964,2484115,2713889,2707100,3031200,3040040,3132240,2972596,3109008,2878762,2936749,2107189,1972935,1934789,1958487,1810404,2029430,2029815,1972256,2006272,2087152,2077502,2105050,2076730,2108585,2143688,2164911,2207900,2084684,2001025,1909900,1768587,1712628,1677145,1606312,1547722,1535275,1480318,1493738,1368312,1366096,1422963,1436110,1313131,1359919,1442250,1351452,1392518,1390912,1454977,1485701,1698401,1691973,1781678,1870520,1750000,1815920,1680410,1713210,1774230,1573634,1550533,1554707,1570366,1523557,1533638,1613442,1626107,2018547,2054434,2067283,2110016,2280749,2379471
"Security brokers and dealers; corporate and foreign bonds; liability","Currency","1000000","USD",Z1/Z1/FL663163003.Q,FL663163003.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,74,122,377,128,337,515,1071,382,548,622,1342,990,1696,1322,3397,2952,3340,4022,3248,3498,5327,5511,7517,9649,10865,10128,13783,12289,10825,14312,15289,16421,18154,18212,19000,19686,23104,22706,21694,19323,22754,26419,33734,31258,31324,29419,34255,26870,26844,27368,29300,21360,24649,26068,27281,26567,35301,33583,35340,35082,40084,39435,42533,34756,30182,34623,25309,36416,36247,42588,40944,35007,43913,47064,42343,38425,42805,46614,40624,50232,46175,48640,46991,59978,60596,68897,62237,65026,63720,70720,62361,71136,72769,74011,68788,83652,93615,86273,64803,80369,84481,76926,97067,82039,97137,104025,92851,92252,100907,96115,129722,128238,110065,99211,91829,98018,102140,85832,90164,89105,103067,96121,112398,122725,113379,123900,123878,107412,135794,135387,131297,119463,111009,125639,129141,129718,165819,175522,185668,175594,167352,175898,184003,181488,205929,183785,173916,256907,179726,165438,183885,196343,204512,214638,217713,260836,249244,223595,236100,229311,211194,221033,236247,258209,268442
"Security brokers and dealers; loans; liability","Currency","1000000","USD",Z1/Z1/FL664123005.Q,FL664123005.Q,3976,ND,ND,ND,2366,ND,ND,ND,1582,ND,ND,ND,2068,ND,ND,ND,2588,ND,ND,ND,2960,ND,ND,ND,2681,2256,3092,2428,3056,2640,2737,3007,3445,3018,3784,4009,4450,4145,4367,4221,4746,4281,4215,3925,4158,3488,3796,3868,4287,4249,5533,4092,4848,4189,4237,4332,4887,3683,4018,4740,5382,4532,5319,5333,6256,5540,5375,5851,7066,5869,6818,7460,7739,6840,7855,7687,8377,7542,8973,6941,8737,7479,8855,7247,9576,9667,9705,11057,12745,11519,12962,15403,16199,12233,13509,10563,13173,10932,9656,11212,14153,12728,12176,12257,15299,14646,15671,15562,19502,14819,13976,12905,16075,12017,12850,12594,13150,12286,13116,11934,16034,15229,16037,16272,23385,15957,17277,16440,23789,17667,20538,21999,26971,18037,22825,23513,29204,21863,25235,27258,35486,26134,27809,26150,34379,24932,28978,30829,37888,31707,36396,35228,41033,36500,36398,38518,49589,43097,56463,55357,79230,81230,75341,73090,83258,76068,75248,78408,60204,63682,64324,63275,64156,66072,74415,67212,76276,70833,71568,73855,80736,80004,80159,91588,117597,99811,108545,109574,110928,124191,140472,138895,144784,150874,144122,140737,143046,145370,152295,155504,173173,185112,180270,178077,220677,213228,231410,235401,253705,282098,297815,330984,323446,316763,320822,335954,383071,444454,426203,447203,493852,480380,487398,581345,530427,516276,483002,472222,464115,481447,587710,569043,549593,592036,613193,604034,665357,653822,664998,659508,660821,695986,737540,746782,749235,791664,856115,860755,969606,1117530,1049227,1244912,829438,722412,714425,732329,733602,732477,734788,749093,763774,770105,826409,853194,794443,801130,818098,825813,828494,822021,869774,870409,896756,952566,954207,981933,961683,964070,938685,934643,912508,951659,964683,942256,920427,941471,944384,926453,880848,884781,880625,876418,882503,872086,881013,914591,905987,1113986,1033674,995592,1037010,1064100,1097246,1160614,1182095,1311746,1264590,1202789,1138699,1102615,1088074,1036762,1062198,1065867,1041403
