"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q1,1946Q2,1946Q3,1946Q4,1947Q1,1947Q2,1947Q3,1947Q4,1948Q1,1948Q2,1948Q3,1948Q4,1949Q1,1949Q2,1949Q3,1949Q4,1950Q1,1950Q2,1950Q3,1950Q4,1951Q1,1951Q2,1951Q3,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
"Holding companies; total financial assets","Currency","1000000","USD",Z1/Z1/FL734090005.Q,FL734090005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,4295,7265,8695,13147,16373,14094,14719,14579,15898,18096,18949,19951,21123,24239,27629,32608,36210,43332,43007,46910,49372,47517,49270,51071,54754,58515,63048,65412,67773,70030,73273,76028,78366,80698,84218,86396,88261,90121,93887,96375,98776,101776,104714,106520,110161,113634,118373,116537,122542,131450,141256,144365,147123,156290,165457,166185,169111,183112,197420,198030,198453,213032,227017,231967,238162,247971,259463,263939,287191,296069,305224,317997,307470,319236,316922,318206,328222,336519,338504,349656,354331,355947,358601,360393,354962,351753,340244,339141,341334,341090,344536,354301,360667,372701,379447,393675,403164,412266,426747,430509,439262,448643,458913,476089,491475,506743,514698,522423,536482,541585,563124,570298,593941,611488,628230,661075,691188,706597,746290,761610,776066,781408,808390,811862,830688,871007,905907,963398,988416,1022415,1013370,1029210,1045538,1063373,1099761,1138999,1190321,1197168,1229896,1301769,1328668,1442483,1492112,1506117,1564210,1582786,1626912,1632839,1710529,1768282,1859368,1864856,1922199,2008363,2051998,2113935,2246883,2178727,2324364,3160511,3183015,3230741,3192638,3173849,3183253,3289621,3217929,3278701,3315306,3320522,3263569,3976459,3924872,4129906,4202526,4286268,4241516,4265767,4157852,4203477,4268583,4240568,4248605,4219412,4258688,4210972,3833946,3901368,3914425,4144597,4074578,4048023,4113095,4139198,4122111,4110792,4094383,4068638,4090605,4189452,4309014,4320569,4300718,4382878,4488050,4492739,4606246,4597869,4720815,4752829,4797164,4755502,4691789,4671876,4746681,4835347,4837798,4833314,4977796,5029899,5049084
"Holding companies; private foreign deposits at affiliates; asset","Currency","1000000","USD",Z1/Z1/FL733091003.Q,FL733091003.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2500,2500,3000,3000,3500,3500,4000,4000,4000,4200,4200,4300,4300,4400,4400,4500,4500,4600,4700,2738,2776,2945,3620,4414,4047,2945,4023,3805,4542,5856,6201,8692,12447,13034,15462,19386,15563,15493,17413,17826,18366,19324,21463,23836,20548,20690,22223,21080,17499,20068,15258,16542,18119,19993,23060,19519,23512,17408,18851,21296,23314,20387,24960,21064,18072,16375,16618,15088,13921,16459,14631,16142,15414,18143,22462,18678,16826,13353,19181,13294,14991,13342,14101,19894,16699,18683,19879,19468,23049,21409,22041,19539,20551,25330,19620,23256,25096,24888,24328,23295,21221,24158,20917,18687,19547,33755,24371,23098,27609,32151,37335,43035,38335,40994,41583,39820,35614,42359,32799,37392,35983,37957,42768,39076,33906,36912,50807,55084,50693,54692,60227,64572,68604,66722,68889,77849,96152,107350,120641,150272,117246,172290,153422,167658,188010,176711,178157,167625,176224,184100,175987,161925,169885,146409,125789,108300,103623,70459,91325,62782,73404,45830,45480,42412,62656,50075,47650,40405,37865,36599,43390,52770,56771,21211,17380,21802,21098,24058,24647,35253,35412,25562,32444,27831,31265,28254,36264,47229,43878,20936,26467,20732,18404,19152,21986,7877,12260,10391,12849,13379,16022,13832,11858,12432
"Holding companies; total time and savings deposits; asset","Currency","1000000","USD",Z1/Z1/FL733030005.Q,FL733030005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,-1000,-2500,-2500,-3000,-3000,-3500,-3500,-4000,-4000,-4000,-2700,-2500,-2400,-2200,-1840,-1600,-1300,-900,-530,-100,2462,3224,3790,3280,2686,3253,4652,3977,4695,4458,3513,2399,1728,-247,967,738,-902,1537,230,787,1669,2634,3075,1537,-507,1252,-741,-2173,-937,2651,151,3742,3229,2037,465,-257,2248,953,1100,199,-790,-1269,-1518,-686,194,2250,2566,1688,3009,-7063,-11557,-10838,-12133,-12167,-15457,3476,3537,3765,4083,5119,5168,5982,5081,5744,5797,6304,6400,6898,5743,6654,6356,6928,7859,8734,12084,8157,7179,6147,3042,7048,9425,7845,9265,14597,16583,26128,21567,21963,29141,32197,35612,24282,20676,27235,26275,28538,32484,35812,33856,46729,42846,41257,51161,64221,64431,85397,81465,70056,72792,75032,68939,69226,75396,75586,84367,86532,87207,81817,65758,61124,93180,92883,83665,185688,176276,160598,121372,142948,156305,156262,158380,168781,190531,188122,201951,253829,285891,284493,299544,296800,296350,313249,348314,357714,359133,350951,389270,366829,348031,337343,336333,326271,342452,343543,354488,368216,396156,388233,363751,341832,341557,352553,351136,352439,370858,353478,358132,397819,485423,477093,493997,413495,418178,394277,397484,364222,404514,424175,475903,487155,466957,435618,485048,487434,486505
"Holding companies; security repurchase agreements; asset","Currency","1000000","USD",Z1/Z1/FL732051003.Q,FL732051003.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,445,683,1710,1872,1424,687,1587,1446,1302,835,982,354,804,449,745,654,1029,724,912,470,804,533,567,334,944,551,599,686,1526,469,4416,329,5882,4158,4482,5320,6926,4805,4286,4192,6022,5091,5071,5266,6165,3981,5301,4096,5510,6657,7770,6676,6056,9622,1867,2863,2127,9583,10078,11175,8568,10661,10965,13701,9719,10221,8314,6976,6999,5164,5609,5083,326,28727,34627,39794,48455,52654,59999,69328,49966,58917,61956,52887,50646,201,232,392,10267,9785,6793,9491,7419,7246,9075,7418,2429,5465,7761,4044,2190,3048,3284,2372,2163,2480,9086,8873,5243,4243,3219,3715,1593,1375,1203,1116,2000,2048,21796,36527,41370,29438,15842,30136,26112,17795,23782,29207,6105,5507,5431,4800,5976,3552,2024
"Holding companies; long-term debt securities; asset","Currency","1000000","USD",Z1/Z1/LM734022605.Q,LM734022605.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1600,1700,1800,2055,2300,2600,3000,3349,3000,2700,2400,2065,2500,3000,3500,3722,3800,3800,3900,3904,3700,3643,3700,3860,2900,1904,2300,2700,2750,2773,3600,4492,4100,3874,4600,5345,5900,6528,8100,9710,8800,8037,8376,7910,8624,9122,9124,9347,8345,8227,8446,9492,9437,9337,8950,10714,11553,9459,8921,8389,8139,8062,8584,8761,10694,10665,13554,14059,13379,14894,15608,16169,17166,16531,17347,16972,15951,17458,15363,16178,15285,16555,17670,19873,20833,22195,21214,25407,29069,24856,26409,22693,21728,21191,20786,30353,20512,19230,19827,19114,19864,19213,18879,22972,25813,26344,25907,25139,30602,36466,29575,28819,28841,29023,29355,31294,30104,38732,27038,24314,26423,28464,29981,31127,28611,27105,32090,53618,55055,78243,69857,65403,54596,59284,60005,61499,62280,44749,89837,79399,79067,81337,85938,78434,134905,99464,107404,100961,103119,111326,113420,72796,68484,75261,80249,71983,66107,67276,71453,51248,48499,50490,49394,54224,50008,67241,54035,62302,73655,78242,89049,92224,95543,105640,123406,126766,121489,125110,116148,122432,145458,144104,139092,146447,148866,166439,176426,181748,168630,166253,174220,182360,170809,173643
"Holding companies; Treasury securities; asset","Currency","1000000","USD",Z1/Z1/LM733061103.Q,LM733061103.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,128,136,144,164,184,208,240,268,240,216,192,165,200,240,280,298,304,304,312,312,296,291,296,309,232,152,184,216,220,222,288,359,328,310,368,428,472,522,648,777,704,643,670,633,690,730,730,748,668,658,676,759,755,747,716,857,924,757,735,562,533,919,1561,1055,4019,3981,5616,6264,5605,5993,5719,5500,6050,4953,4958,4702,4064,5762,3119,3494,2872,2842,3396,4106,3649,2961,2744,4042,2285,1701,984,928,1164,1174,896,8861,935,1086,1114,848,845,942,856,1214,1290,1750,1423,1301,1168,2369,3010,2745,2163,2425,1564,1986,1588,2381,2410,1121,2675,2689,2323,2566,766,848,721,7177,6424,11960,13796,3127,565,7080,4196,5846,5821,5039,17264,19700,16133,8991,20434,26848,31423,7296,10776,7953,9094,18072,16541,15908,15650,20667,21681,13125,9612,8409,12270,9425,9195,8232,6944,9033,11727,18435,13819,20632,25024,30930,32541,32993,32485,37746,53560,55810,53359,54426,53941,61639,84232,86512,83824,92611,99788,120585,130572,133582,122940,121945,126764,132379,123283,123744
"Holding companies; agency- and GSE-backed securities; asset","Currency","1000000","USD",Z1/Z1/LM733061703.Q,LM733061703.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,352,374,396,452,506,572,660,737,660,594,528,454,550,660,770,819,836,836,858,859,814,801,814,849,638,419,506,594,605,610,792,988,902,852,1012,1176,1298,1436,1782,2136,1936,1768,1843,1740,1897,2007,2007,2056,1836,1810,1858,2088,2076,2054,1969,2357,2542,2081,2032,1464,1606,2048,1801,2457,1807,1633,2366,2242,2277,2504,2549,3222,3489,3842,4334,4964,4206,3996,4253,4794,4865,4943,4835,5029,4643,5327,4451,5604,8754,5893,6528,6741,6206,4206,4035,5409,4819,5046,5158,4878,5340,5142,5070,6289,10286,11603,11021,10836,11659,11050,12313,11750,12639,13013,14462,13650,13695,12918,11634,11284,12030,13403,12832,11447,12863,11891,13041,10034,13160,28573,16803,26069,21782,22502,22467,24441,22669,22212,30227,21178,22331,31629,43415,33243,36247,20074,20946,22300,24997,24101,28172,26744,24666,26694,26531,26511,29108,28180,28761,21932,19946,21207,20366,23111,21162,15475,25998,25280,32012,30291,39567,39341,41653,41864,41106,43100,41185,38688,36473,33830,30682,29122,27157,24661,22395,21194,19609,19235,19092,18682,18042,18025,18156,18590
"Holding companies; corporate and foreign bonds; asset","Currency","1000000","USD",Z1/Z1/LM733063003.Q,LM733063003.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,1120,1190,1260,1439,1610,1820,2100,2344,2100,1890,1680,1446,1750,2100,2450,2605,2660,2660,2730,2733,2590,2551,2590,2702,2030,1333,1610,1890,1925,1941,2520,3145,2870,2712,3220,3741,4130,4570,5670,6797,6160,5626,5863,5537,6037,6385,6387,6543,5841,5759,5912,6645,6606,6536,6265,7500,8087,6621,6154,6363,6000,5095,5222,5249,4868,5051,5572,5553,5497,6397,7340,7447,7627,7736,8055,7306,7681,7700,7991,7890,7548,8770,9439,10738,12541,13907,14019,15761,18030,17262,18897,15024,14358,15811,15855,16083,14758,13098,13555,13388,13679,13129,12953,15469,14237,12991,13463,13002,17775,23047,14252,14324,14039,13585,13329,15658,14821,23433,12994,11909,11718,12372,14826,17114,14982,14366,18328,36407,35471,37710,39258,36207,32249,29702,33342,31212,33790,17498,42346,38521,40603,40717,22089,18343,67235,72094,75682,70708,69028,69153,68707,30144,28168,27900,32037,32347,27387,30687,30422,19891,19358,21051,22084,22080,17119,33331,14218,16390,16619,17021,16941,19890,21405,26030,28740,27856,26945,31996,25734,26963,30544,28470,28111,29175,26683,24660,26245,28931,26598,25626,29414,31956,29370,31309
"Holding companies; other loans and advances; asset","Currency","1000000","USD",Z1/Z1/FL733069005.Q,FL733069005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,1662,3858,3946,6837,8083,5228,2954,2858,3058,2960,2840,2772,2296,2264,2598,3161,3520,4637,4300,4904,5372,4914,4901,4677,4667,4496,3400,3500,3600,3700,3781,3700,3800,3800,3810,4000,4200,4400,4628,4500,4400,4300,4230,4100,4000,3900,3703,2700,3167,3650,4092,3500,2928,3000,3053,2600,2240,2450,2726,2300,1970,2400,2797,2800,2915,2500,2127,2000,2247,2802,3825,4430,4535,4060,4566,6294,5951,5906,4339,5779,5085,7152,5857,6361,6078,4706,5652,4748,3677,3409,3530,3303,2929,4399,3877,3485,3955,3493,2012,1819,2293,2138,1942,2589,2312,2005,2356,1980,2069,2221,2564,2161,2152,1886,2538,2716,2461,2473,4268,3742,4358,1659,2700,1984,4120,1872,1754,2830,2757,2736,2045,2183,2186,2224,2969,2707,6760,6943,7953,8195,7484,7895,5466,4252,3585,3865,8215,7774,4519,4608,5573,3914,4133,4572,6276,5881,7045,6359,8241,16681,15910,16194,14604,16998,18406,18484,19320,27333,24647,25254,22899,53066,53043,107899,105333,105987,110734,100514,75694,73031,64118,63838,64817,62331,55103,37677,23923,23382,22228,24703,22839,104022,103731,114278,123080,121099,115058,105728,104269,107241,112866,125850,117658,128723,119037,104602,106605,121170,129590,125062,130224,150519,145486,150378,30628,29854,31296,29345,29043,28369,28683
"Holding companies; U.S. direct investment abroad: intercompany debt (market value)","Currency","1000000","USD",Z1/Z1/LM733092305.Q,LM733092305.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9886,10948,11832,12368,10717,9883,9628,10292,9641,9489,8425,8279,9681,9870,9888,9899,7985,7907,6722,5956,8914,9895,11198,11707,11197,10414,8491,8790,8411,8098,8020,8322,8701,7489,7610,6650,8373,8529,8041,8194,4660,4898,2985,3916,2093,3295,2134,2032,1672,1410,479,-1960,-3994,-2309,-4462,-4057,-2789,-3868,-3266,-3249,-2704,-2476
