"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q1,1946Q2,1946Q3,1946Q4,1947Q1,1947Q2,1947Q3,1947Q4,1948Q1,1948Q2,1948Q3,1948Q4,1949Q1,1949Q2,1949Q3,1949Q4,1950Q1,1950Q2,1950Q3,1950Q4,1951Q1,1951Q2,1951Q3,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
"Holding companies; U.S. direct investment abroad: equity (market value)","Currency","1000000","USD",Z1/Z1/LM733092103.Q,LM733092103.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132496,166954,207874,225275,230289,203094,236547,251992,254263,240499,186776,184108,201642,186978,200656,206456,203611,183006,185504,180325,207389,241302,254127,272279,266024,250138,215787,206914,214218,215464,235785,245599,256900,263593,273801,281950,262443,258566,249550,217156,259386,281789,295505,337628,270144,321199,346326,408679,422394,455430,455774,491733,452427,373986,328159,360576,397258,408960,388966,435991,488771,491946
"Holding companies; equity investment in affiliates; asset","Currency","1000000","USD",Z1/Z1/FL733094635.Q,FL733094635.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,1800,2700,3600,4500,5400,7200,9000,9900,10800,12600,13500,14400,15300,17100,18900,20085,21065,21343,22303,23913,25719,27309,28290,29990,31955,33960,36020,37140,38192,39380,41035,42232,43352,44472,47213,48046,49933,50919,52803,53625,54352,56363,58986,60027,62284,64027,64977,66494,69811,72247,77350,76546,74551,85147,92177,89364,89181,97300,105697,101598,98868,113583,124687,125314,128322,136660,141268,148975,174895,178937,184019,188930,177728,183380,185232,184641,192311,198400,202202,207931,212436,211833,210830,215565,219308,220791,218294,221342,223575,226335,228794,234614,244642,251980,259684,269686,279031,286718,298465,300753,306966,314674,316908,331228,341368,352463,354955,362023,372792,378361,384575,396904,412320,424432,427120,441534,456869,467405,501107,511649,512361,517342,530835,549224,559673,586297,604731,643483,662345,686833,692204,699052,717599,733009,756681,773685,799108,807772,820875,862923,902387,997019,1042207,1060344,1088667,1098312,1131949,1123102,1175942,1219349,1276756,1281072,1303093,1357669,1369010,1385571,1377489,1365773,1363555,1525499,1532453,1579195,1563693,1566972,1616275,1604416,1579088,1603404,1640751,1720363,1681313,1994193,2044090,2208749,2168840,2191557,2190913,2213264,2252358,2273683,2269003,2253800,2248928,2244440,2306465,2374851,2122374,2165314,2166818,2225010,2177261,2158103,2169807,2171822,2152785,2194249,2198641,2170608,2255671,2252077,2299580,2298195,2283148,2359568,2332096,2346958,2366920,2393165,2438189,2464696,2454573,2415486,2431014,2439021,2453831,2487879,2477205,2483457,2477971,2456846,2481921
"Holding companies; life insurance reserves; asset","Currency","1000000","USD",Z1/Z1/FL733040005.Q,FL733040005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15517,14798,15121,15160,15129,15597,19773,20450,20163,16720,17277,19289,20974,20630,21404,21352,22035,24347,24690,25105,25149,25024,26492,27552,33685,34751,36202,34876,36114,36401,37530,39933,41116,42429,43630,44963,46013,47013,48013,49013,50013,51013,52013,53013,54013,55013,56013,57013,58013,59013,60013,61013,62013,63013,64013,65013,66014,67014,68014,69015,70015,71015,72015,73016,74016,75016,76016,77017,78017,79017,80017,81018,82018,83018
"Holding companies; total miscellaneous assets","Currency","1000000","USD",Z1/Z1/FL733090005.Q,FL733090005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,833,707,1149,1810,2890,1666,2765,1821,2040,2536,2609,2779,3527,4875,6131,9362,11625,17352,16404,18093,18281,15294,16079,16404,18132,20059,20628,21472,22381,23050,23842,24996,25414,25826,25776,26750,26228,26402,27656,28850,29924,30313,30179,30593,31577,32807,36420,35043,35501,39653,41953,45219,49256,48743,51804,53271,55422,58762,62106,67032,70412,70649,74239,77903,80254,80561,86139,85164,82241,85798,89012,93210,94318,98207,99269,99876,101227,101722,103602,102235,106215,107690,112259,108608,102020,110143,102562,100436,100301,97643,99341,79065,78629,80731,83089,81990,85840,85120,90874,90477,87036,90827,96979,98820,104214,106739,112640,113633,117101,113714,117754,122072,126240,132027,143709,155911,169866,180915,178917,184819,198404,190626,182254,189003,191140,199013,206523,230513,235319,243131,222715,228060,221804,226711,233247,245820,259979,268962,277075,285199,284400,286048,292641,280971,295272,316671,330235,319909,335873,341332,369944,370488,398901,409314,422537,460336,518325,504249,611595,1032542,998275,945835,947309,890799,882570,904205,860287,876159,879147,856380,861979,1169468,1102253,1070600,1195891,1239985,1235304,1212669,1129227,1120420,1155955,1112701,1092154,1103356,1126082,1075448,996562,1018822,1001808,1146986,1135458,1028200,1019177,1043435,1045279,1022238,996305,993969,973787,1022274,1041336,1024756,978203,998717,965851,951059,974260,974595,1026325,1052894,1060384,1114179,1065984,1040696,1154540,1170987,1193168,1224135,1269807,1302946,1291388
"Holding companies; other investment in affiliates; asset","Currency","1000000","USD",Z1/Z1/FL733094735.Q,FL733094735.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,200,300,400,500,600,800,1000,1169,1334,1673,2065,2635,3407,4304,5050,6300,6684,9216,9531,10601,10823,11824,12211,13600,14387,15311,17980,18860,19808,20620,21726,21768,22648,23528,23828,24454,24067,24581,25793,26876,28148,28637,28425,29973,30716,31973,35007,31506,34249,37753,40010,42954,47450,46853,49378,52638,53539,55700,59232,62402,66956,66417,69964,73686,76216,76840,81976,79026,74310,77872,82056,85125,86724,89273,91108,91711,93344,94047,95880,94006,97711,99490,102620,98884,92224,100517,93282,91663,90913,88709,90035,69898,68084,70383,72750,70949,73891,73739,79358,78732,75947,79417,85047,86801,91979,94873,99331,100434,103389,100275,102757,107003,110259,116516,126378,137306,149707,159366,155029,162520,170249,162943,152805,156668,157729,164416,171319,189876,195938,200596,181039,183059,174333,176798,180590,189675,203511,207551,214561,220076,217478,221205,226233,213073,225520,243305,253788,257309,271154,279032,303939,295813,324199,340808,356184,384491,437364,433210,536671,902396,867525,817337,803523,751825,745314,769827,722924,729149,727245,713479,721903,765195,731221,828062,950636,995279,991997,950887,952524,948507,985349,961740,947856,964876,1000701,957477,890218,909775,895418,1038324,1031091,939565,926836,939930,967209,956426,925230,924545,905686,954701,974057,969928,933900,958168,922132,911956,933308,931913,981679,1010183,1020860,1070601,1024334,995192,1115526,1133858,1158004,1184668,1238486,1267496,1254452
"Holding companies; unidentified miscellaneous assets","Currency","1000000","USD",Z1/Z1/FL733093005.Q,FL733093005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,633,407,749,1310,2290,866,1765,652,706,863,544,144,120,571,1081,3062,4941,8136,6873,7492,7458,3470,3868,2804,3745,4748,2648,2612,2573,2430,2116,3228,2766,2298,1948,2296,2161,1821,1863,1974,1776,1676,1754,620,861,834,1413,3537,1252,1900,1943,2265,1806,1890,2426,633,1883,3062,2874,4630,3456,4232,4275,4217,4038,3721,4163,6138,7931,7926,6956,8085,7594,8934,8161,8165,7883,7675,7722,8229,8504,8200,9639,9724,9796,9626,9280,8773,9388,8934,9306,9167,10545,10348,10339,11041,11949,11381,11516,11745,11089,11410,11932,12019,12235,11866,13309,13199,13712,13439,14997,15069,15981,15511,17331,18605,20159,21549,23888,22299,28155,27683,29449,32335,33411,34597,35204,40637,39381,42535,41676,45001,47471,49913,52657,56145,56468,61411,62514,65123,66922,64843,66408,67898,69752,73366,76447,62600,64719,62300,66005,74675,74702,68506,66353,75845,80961,71039,74924,130146,130750,128498,143786,138974,137256,134378,137363,147010,151902,142901,140076,404273,371032,242538,245255,244706,243307,261782,176703,171913,170606,150961,144298,138480,125381,117971,106344,109047,106390,108662,104367,88635,92341,103505,78070,65812,71075,69424,68101,67573,67279,54828,44303,40549,43719,39103,40952,42682,44646,42711,39524,43578,41650,45504,39014,37129,35164,39467,31321,35450,36936
"Holding companies; total liabilities and equity","Currency","1000000","USD",Z1/Z1/FL734194005.Q,FL734194005.Q,2325,ND,ND,ND,2616,ND,ND,ND,2228,ND,ND,ND,2009,ND,ND,ND,1975,ND,ND,ND,2053,ND,ND,ND,2053,1968,1890,2028,2188,2170,2238,2254,2157,2044,2057,2382,2741,2790,2737,2828,2924,2797,2860,2999,3013,2940,2643,2824,2898,2835,4856,5052,4953,5330,5617,6223,6438,6079,6135,5795,7022,6796,6727,6798,8423,7832,6206,5731,8041,8548,9438,10281,9895,10914,11379,11599,11289,19546,18328,19950,19840,18350,18206,15681,19948,20383,18984,20901,19714,21251,24449,25699,29499,32046,36916,38309,39876,46153,42535,40781,39935,43293,38664,40102,44749,48972,48976,55722,63929,60487,57919,67629,62998,64522,50388,41410,43147,49010,55706,48968,52858,60889,63411,62121,66480,65232,66287,66766,69230,70495,73720,78593,78617,80584,83485,87457,85692,79668,89662,90451,94363,93755,105217,107850,111482,112333,109656,115485,122068,128503,134561,141059,153136,148815,145372,159731,167898,179026,195337,192674,216621,243405,255925,249084,272117,294351,294162,296996,267797,278717,296736,307423,301655,320140,338864,353403,331233,317549,303993,257218,251462,274560,288040,308275,322714,352419,366371,372671,418529,453302,442347,463926,463564,463796,479449,471385,472788,516311,566395,624704,654300,706225,710877,763340,904542,942180,1063841,1188737,1302692,1436731,1459311,1221711,1420940,1443467,1529820,1354906,1392337,1383678,1369416,1590464,1629389,1634483,1763138,1620745,1723397,1798154,1721262,1515966,1586370,1548794,1777127,1822591,1996333,2067504,2024799,2068960,2197063,2105596,2172726,2152411,2247886,2313579,2368597,2485899,2613506,2541099,2550922,2530410,2308187,2208132,2051454,2331614,2169168,2536762,2757673,3111928,2910558,3066557,2848956,2947986,3056404,3109514,3011966,2641800,2663278,3811153,3580695,3572894,3674043,3870933,3968066,4001149,4052648,4106434,4113798,4094140,4190218,4069979,4194019,3903479,3609407,3384290,3388053,3710089,4184562,4192330,4237003,4349534,4550226,4467601,4376035,4404425,3914810,4114810,4294476,4303023,4555556,3568951,3833731,3784737,4423813,4896515,5141918,5236585,5270285,5086909,4579534,4550025,4837881,4584363,4621536,4512384,5052019,5306547,5327285
"Holding companies; total liabilities","Currency","1000000","USD",Z1/Z1/FL734190005.Q,FL734190005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,1825,3559,4708,7623,8741,5888,5022,4976,5426,7496,7789,7472,8005,8936,9432,11128,12357,14783,14678,16011,16854,16230,16833,17454,18715,20004,23400,24800,26200,27500,29066,30600,32000,33100,35164,36400,37300,38200,41027,42400,42600,44600,46735,47000,49100,51100,54059,50500,55906,64500,64886,67700,69944,73000,74197,75000,77045,84000,89074,93000,96206,101000,105183,109000,112373,118000,123236,129000,139436,144838,150809,159566,161959,168549,166655,168289,171541,174480,172003,179350,178888,181650,181345,179854,169172,160441,148460,143312,140486,137348,137044,139356,135133,140307,140028,145229,146093,147139,149331,151046,153395,156122,164565,169373,174336,180909,180180,185431,189765,190474,204427,211452,224696,234009,244205,262299,279054,288810,295857,305721,318110,325283,351033,344063,356147,372797,384383,409215,416125,430605,425259,434472,432633,438877,457592,476113,499671,500302,519458,555114,551128,578018,581450,607255,634603,646037,661143,681559,719600,741032,786644,795947,845216,896744,959256,989034,1106626,1060450,1127315,1697428,1704208,1732954,1680632,1658854,1636244,1727502,1668405,1694466,1704910,1676328,1611106,1940446,1849904,2118680,2159512,2210198,2172882,2173278,2059244,2057646,2063911,2026871,2020125,2000936,1987764,1914471,1551071,1581984,1593361,1733653,1708133,1725266,1795376,1802494,1820773,1800178,1767610,1787358,1753751,1817942,1877155,1881685,1858772,1958996,2034202,2000426,2030472,1993171,2072149,2091176,2130088,2162609,2174194,2190950,2248688,2265423,2268043,2261153,2339501,2365295,2357576
"Holding companies; security repurchase agreements; liability","Currency","1000000","USD",Z1/Z1/FL732151003.Q,FL732151003.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,200,47,44,37,41,38,45,142,104,93,253,124,22,124,21,96,63,135,2038,72,258,136,137,59,752,568,473,584,1327,1388,5046,4756,6141,4372,4529,5086,7354,5441,5387,5184,5848,5644,5743,6121,4882,4917,6263,5314,6629,12773,16489,8801,8086,10770,3248,4064,2930,9964,12157,12609,9138,10603,10630,13032,10253,10609,8804,7645,7735,5721,5993,4912,713,696,813,621,553,1002,1264,2324,795,1118,1313,1188,1216,1138,1052,1171,49,31,30,30,30,25,25,25,25,42,64,89,95,80,73,76,66,44,29,65,57,173,172,58,12,7,7,7,9,7,11,25,7,116,75,109,41,81,33,34,7,44,29,100,3,8,3
"Holding companies; debt securities; liability","Currency","1000000","USD",Z1/Z1/FL734122005.Q,FL734122005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1245,2595,4294,7415,8581,5672,3449,3811,3851,4042,4211,4843,5179,6106,6789,7916,8956,10088,9959,11575,12961,15107,15192,16049,15974,16231,19954,20327,20508,21394,22230,22965,24230,25315,26200,27446,30299,31675,35095,36500,39804,41581,41741,44621,45613,46721,50268,47186,52144,57604,59772,61365,65793,63112,67268,69393,72141,76303,80212,77571,87546,88778,96289,99512,102811,108260,115158,110538,126260,131499,136561,144990,147775,153608,150601,152703,152835,153750,150137,158026,157584,161207,161047,158940,148213,135337,124843,119572,116344,114275,114541,117436,113208,115003,113917,119093,120869,122287,126469,126970,130201,133818,142559,147694,152231,157789,157195,163111,167123,166220,165690,165783,173877,180176,184907,197449,209468,217840,219936,230366,237352,242036,253649,261807,271142,242985,250455,273912,261338,263257,256532,250053,248923,253248,268115,323031,341903,346612,362965,390324,379975,401877,398781,407559,419616,429645,440011,455363,497206,508643,539047,557771,599130,631243,659051,686088,735379,699194,664312,1177700,1178841,1185725,1157773,1147763,1099542,1174127,1150286,1156677,1202500,1180693,1160753,1277137,1197205,1411584,1401424,1395481,1360256,1351609,1384368,1385594,1386748,1377040,1374162,1366209,1371853,1343448,1195119,1229652,1250487,1281752,1261541,1270686,1319414,1333598,1325999,1312440,1299662,1298777,1301256,1337470,1370958,1373507,1350035,1432946,1495107,1461288,1479919,1442209,1524801,1517694,1544939,1531079,1516633,1472610,1541766,1547955,1541233,1486378,1556280,1558228,1535057
"Holding companies; commercial paper; liability","Currency","1000000","USD",Z1/Z1/FL733169103.Q,FL733169103.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1245,2595,4294,6477,7603,4618,2349,1692,1733,1900,1973,2172,1971,2368,2637,3456,4283,5231,4881,6045,6952,8639,8332,8954,8791,8798,8654,8427,8008,7894,7859,7965,8530,8915,9135,10146,12027,13005,15835,16435,18956,20415,20382,22502,22624,23062,25943,25767,28857,32609,32959,34634,38016,33685,34550,34981,35612,37158,38007,41384,45904,43025,44140,45638,45596,45557,46380,38361,45439,45183,50782,54679,53864,56919,52492,53236,52547,54893,51877,58391,57392,59403,60043,59527,51008,43795,35569,30171,27353,25948,25430,25649,24752,24965,22436,23885,24898,25480,27950,29565,30660,32944,33948,34444,34341,36813,33112,34992,37521,34672,30740,32197,33937,34542,37609,41826,48001,49965,45421,46431,48863,45569,54501,50776,52452,54141,55721,63357,62655,62405,50609,56463,43445,46591,48311,44555,39581,40898,42278,57089,51710,52081,53112,59810,57915,63307,57143,58712,74398,75138,81730,86019,90345,102141,116712,115762,130322,115851,77705,56148,51880,55614,60786,73973,63721,64386,64767,73651,76958,71721,75876,87182,87018,116963,116436,117743,110567,109375,96552,89675,91308,81883,76963,69965,56274,16009,5659,5583,4599,2834,2202,3278,3300,4281,4428,2981,3887,5046,5933,6179,6379,3834,5860,5414,4887,3571,5152,5516,6522,6482,8122,7472,8813,9189,9544,9003,12404,11018,12639,11362,9715
"Holding companies; corporate and foreign bonds; liability","Currency","1000000","USD",Z1/Z1/FL733163005.Q,FL733163005.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,978,1054,1100,2119,2118,2142,2238,2671,3208,3738,4152,4460,4673,4857,5078,5530,6009,6468,6860,7095,7183,7433,11300,11900,12500,13500,14371,15000,15700,16400,17065,17300,18272,18670,19260,20065,20848,21166,21359,22119,22989,23659,24325,21419,23287,24995,26813,26731,27777,29427,32718,34412,36529,39145,42205,36187,41642,45753,52149,53874,57215,62703,68778,72177,80821,86316,85779,90311,93911,96689,98109,99467,100288,98857,98260,99635,100192,101804,101004,99413,97205,91542,89274,89401,88991,88327,89111,91787,88456,90038,91481,95208,95971,96807,98519,97405,99541,100874,108611,113250,117890,120976,124083,128119,129602,131548,134950,133586,139940,145634,147298,155623,161467,167875,174515,183935,188489,196467,199148,211031,218690,188844,194734,210555,198683,200852,205923,193590,205478,206657,219804,278476,302322,305714,320687,333235,328265,349796,345669,347749,361701,366338,382868,396651,422808,433505,457317,471752,508785,529102,542339,570326,605057,583343,586607,1121552,1126961,1130111,1096987,1073790,1035821,1109741,1085519,1083026,1125542,1108972,1084877,1189955,1110187,1294621,1284988,1277738,1249689,1242234,1287816,1295919,1295440,1295157,1297199,1296244,1315579,1327439,1189460,1224069,1245888,1278918,1259339,1267408,1316114,1329317,1321571,1309459,1295775,1293731,1295323,1331291,1364579,1369673,1344175,1427532,1490220,1457717,1474767,1436693,1518279,1511212,1536817,1523607,1507820,1463421,1532222,1538952,1528829,1475360,1543641,1546866,1525342
"Holding companies; foreign direct investment in U.S.: intercompany debt; liability (market value)","Currency","1000000","USD",Z1/Z1/LM733192305.Q,LM733192305.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,132,146,139,139,134,134,129,122,122,115,105,52,49,48,48,48,49,48,45,45,45,75,75,75,80,80,81,95,89,86,92,107,119,131,129,145,141,144,145,143,139,129,128,136,133,127,115,115,113,197,228,223,222,216,186,186,167,739,682,1311,1307,1334,1322,1320,1378,1808,1827,1763,1758,1737,1734,1747,2747,4436,2254,2350,2355,2485,3745,3534,3044,2975,3712,3687,3287,3177,2677,2679,2695,2912,2798,2696,2994,2594,2524,2524,2524,2475,10534,13505,13487,13644,124475,123130,129082,131869,134174,130940,119800,121282,119709,115763,119115,121532,112181,97426,98784,98577,100063,105679,106739,107678,97844,105832,101745,91708,83248,70180,70743,71173,76450,70666,71654,62282
