Quarter,portfolio_id,returns,asset_class,asset_id,psi_t,phi_t,cay_t,T_Bill_Rate,RREL_t,consumption_growth,avg_excess_return
1970 Q1,Lo PRIOR,0.8295277628519999,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.24257223714800014
1970 Q1,PRIOR 2,0.84448154175,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.22761845825000004
1970 Q1,PRIOR 3,0.848643472476,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.22345652752400003
1970 Q1,PRIOR 4,0.8276842438199999,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.2444157561800001
1970 Q1,PRIOR 5,0.79927853616,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.27282146384000006
1970 Q1,PRIOR 6,0.8334890531760001,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.23861094682399997
1970 Q1,PRIOR 7,0.793591341312,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.278508658688
1970 Q1,PRIOR 8,0.7475932221120001,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.324506777888
1970 Q1,PRIOR 9,0.7399167235439998,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3321832764560002
1970 Q1,Hi PRIOR,0.657820080099,equity,long_run_reversals,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.4142799199010001
1970 Q1,SMALL LoBM,0.5992151956373001,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.4728848043627
1970 Q1,ME1 BM2,0.6663773345533375,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.4057226654466626
1970 Q1,ME1 BM3,0.7148657586002778,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.35723424139972226
1970 Q1,ME1 BM4,0.7349314711647226,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3371685288352775
1970 Q1,SMALL HiBM,0.7404865799729881,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.331613420027012
1970 Q1,ME2 BM1,0.6076670513552943,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.46443294864470575
1970 Q1,ME2 BM2,0.6933545669018001,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.37874543309819997
1970 Q1,ME2 BM3,0.6952317939229241,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.37686820607707594
1970 Q1,ME2 BM4,0.7661653181977431,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3059346818022569
1970 Q1,ME2 BM5,0.765809647557714,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3062903524422861
1970 Q1,ME3 BM1,0.651438473790537,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.42066152620946307
1970 Q1,ME3 BM2,0.7112894793372244,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.36081052066277564
1970 Q1,ME3 BM3,0.7178524903275658,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.35424750967243424
1970 Q1,ME3 BM4,0.8070944083625414,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.2650055916374586
1970 Q1,ME3 BM5,0.7642225312944833,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3078774687055168
1970 Q1,ME4 BM1,0.7400903888635912,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3320096111364088
1970 Q1,ME4 BM2,0.7283642954664875,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.34373570453351254
1970 Q1,ME4 BM3,0.7999433087611985,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.2721566912388016
1970 Q1,ME4 BM4,0.8116235322481007,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.26047646775189937
1970 Q1,ME4 BM5,0.7539920726160318,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3181079273839682
1970 Q1,BIG LoBM,0.7705797295962978,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3015202704037022
1970 Q1,ME5 BM2,0.82965206529101,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.24244793470899006
1970 Q1,ME5 BM3,0.8474922326146125,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.22460776738538757
1970 Q1,ME5 BM4,0.9028135289302026,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.16928647106979744
1970 Q1,BIG HiBM,0.8105335994311335,equity,size_bm,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.2615664005688666
1970 Q1,SMALL LoINV,0.7072714156339791,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.36482858436602095
1970 Q1,ME1 INV2,0.6811303833904274,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.39096961660957263
1970 Q1,ME1 INV3,0.7254496474118881,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.34665035258811194
1970 Q1,ME1 INV4,0.6801628705521588,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.3919371294478412
1970 Q1,SMALL HiINV,0.6305341173307066,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.4415658826692934
1970 Q1,ME2 INV1,0.7642409673009728,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.30785903269902726
1970 Q1,ME2 INV2,0.7787275769737303,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.29337242302626976
1970 Q1,ME2 INV3,0.7472152813644084,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.32488471863559165
1970 Q1,ME2 INV4,0.6681252800858866,equity,size_inv,0.8490624039348293,4.0298186289578855,-0.0272926211,1.0721,0.015480555555555553,0.006204433817927235,-0.4039747199141135
